time,open,high,low,close,50d,200d,RS,Z of ROC
2021-07-27,28858161613.96535,30178572365.4123,28325283211.298798,29834720213.1279,31573418919.44164,34246666567.652023,1.9681003441396612,-0.17469029042397996
2021-07-28,29863652851.8288,34908930431.4672,29213889271.488003,34020194643.3888,31426920016.947514,34333297450.964634,2.0831994814236916,0.0011148921949386825
2021-07-29,33872210001.2415,35432023192.04775,32239836611.6333,34652347680.0803,31288432080.414272,34430176873.142944,2.1932318843475533,0.1817362929891083
2021-07-30,34713955044.9216,35654097645.1296,32990669027.496002,34859839241.5056,31153937052.127823,34536525115.54215,2.1881660398540843,0.28578388903269136
2021-07-31,34787762573.38585,35082162870.4358,34099133935.07435,34404626237.0367,31053758206.544384,34643259663.33383,2.128466026666478,0.3599939893937308
2021-08-01,34593542692.1856,36036175302.8496,32494199634.6768,33566332698.4608,30967871288.754276,34746431880.146095,2.1139521882974517,0.36997324427335865
2021-08-02,33581152680.336,35826379934.4288,33138868846.248,34233695007.2784,30861237205.992798,34849611407.81729,2.1512790776517074,0.4052569356850218
2021-08-03,34138291373.9568,34493044690.0944,32457149679.988796,33016140871.343994,30707451661.17916,34952501154.199104,2.136837041792791,0.4101957150907664
2021-08-04,33053306120.65092,34289814668.92809,32222939862.69651,33878572418.338722,30562675366.536915,35055119837.79936,2.1013704244567255,0.4415391312898622
2021-08-05,33879963316.59325,34287960137.92205,32483965101.796642,34022298571.30682,30451867338.030727,35160464481.97089,2.0637527827937854,0.5120042957899106
2021-08-06,34043136502.26897,34963133455.50791,33533471187.10431,34683699466.68357,30362275095.11318,35268240283.47085,2.028025817746083,0.5915504296452271
2021-08-07,34706908269.74208,38027623811.35225,34453003964.28208,37907402211.50923,30336339956.379826,35381884307.17253,2.0502425288212627,0.7647629530020144
2021-08-08,37740084547.56965,38896426059.68735,35681593302.57675,36039310461.00165,30358578388.905624,35500286918.89589,2.0707735991659053,0.8050039232609922
2021-08-09,36042545629.1011,38290987458.21885,35100187378.41845,37788149902.19005,30398181920.35214,35619985829.07864,2.0469801527979694,0.9571752271650926
2021-08-10,37725757374.5578,39839708644.1127,36983055212.29835,39366911934.72165,30528807176.486797,35752253835.609245,2.0822259890595967,1.1841780660515322
2021-08-11,39341954923.66875,50462152015.2211,39194061524.83675,46775446882.46215,30872103621.61793,35909871197.27069,2.3331054156463136,1.474350072783432
2021-08-12,46925414727.91998,48459980786.148,42411302533.04174,44760961754.68428,31236214592.741226,36076138879.60905,2.447279552926646,1.5509608031339535
2021-08-13,44839407509.022,50934503368.24527,44187704319.13932,50588692202.67362,31583167573.72009,36252268537.51274,2.4850227776954337,1.7424281163686135
2021-08-14,50643000801.83051,60880868006.99603,49712791975.24583,59467451900.73338,32090980134.866367,36467729537.457504,2.7850717694443494,2.1482699191349632
2021-08-15,59434031224.32913,62663304081.88883,56898237402.15742,59620165824.85831,32719600558.018257,36707386582.50231,3.010638338768926,2.4318323477528336
2021-08-16,59693969818.58434,61701067107.08343,52843659507.83748,55037355572.9269,33285004006.851917,36935286724.58671,2.883812145666754,2.4288262712413973
2021-08-17,55199353018.27523,56861567493.325,50434585750.36518,50958176347.36494,33757040736.15203,37138211278.74616,2.755542091991578,2.252239791842278
2021-08-18,50978221002.05639,55765750585.93913,48888382083.524,53094084154.39751,34171909499.35933,37312656434.289406,2.7388970154724066,2.0047254382420503
2021-08-19,53232570255.73676,57407600908.19284,50597616582.60387,57384364985.14934,34625121583.45424,37481600775.342514,2.8001309882194136,1.9236914700078176
2021-08-20,57395982946.67108,59939851801.47346,55727178953.68692,58728330773.98538,35158254439.20215,37658886663.10388,2.8242501644360867,1.8949452399204756
2021-08-21,58724148307.83755,59645685015.74276,55935837542.61755,56568319367.86162,35708791842.11146,37862551482.875694,2.767879853827051,1.8345537580380615
2021-08-22,56548801192.50507,58368638685.272,54624402046.04241,56987960138.02724,36228231248.46182,38057003911.84653,2.7274236902828806,1.8292124994738368
2021-08-23,57046049945.63599,60618340754.34367,56045046380.922,58004764130.41079,36753844072.872986,38249861733.260574,2.7298016177560656,1.808150533006446
2021-08-24,57919671012.6387,58914131884.01099,52225475508.738,52802244208.692,37242846991.858795,38425414371.230896,2.657394937722889,1.707766154197331
2021-08-25,52832012915.7864,54796282447.96844,51496142184.9252,54658137041.60851,37700285735.131355,38591839970.38438,2.5957149095119316,1.6472471636253352
2021-08-26,54579063913.389,55220021388.0153,49430938130.25121,49890957682.06935,38136628140.98245,38756402349.392426,2.5621889066344967,1.4821850513936758
2021-08-27,49874677920.3771,55490730568.15501,48903008715.37395,55490730568.15501,38599715931.790825,38919064302.32146,2.557510606036134,1.4826879406802602
